代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險
3711,日月光投控,封測,CoWoS|封測|封裝測試,30,22.94,67.4,34951267,21914444409,627.0,中
2454,聯發科,IC設計,CoWoS,28,24.23,63.13,16374555,72211787550,4410.0,低
6147,頎邦,封測,封測,27,24.94,81.75,97511620,27108230360,278.0,高
6488,環球晶,矽晶圓,矽晶圓|第三代半導體,27,32.24,60.4,21698061,20114102547,927.0,低
2344,華邦電,記憶體,記憶體,27,26.32,68.32,359104176,51711001344,144.0,中
6531,愛普*,其他,半導體設備,27,25.0,64.32,14729068,16128329460,1095.0,低
3131,弘塑,其他,半導體設備,27,34.63,69.15,1907365,6933271775,3635.0,中
2408,南亞科,記憶體,記憶體,27,10.58,61.79,226431919,73363941756,324.0,低
3006,晶豪科,記憶體,記憶體,27,9.23,65.76,29191533,7078946752,242.5,中
8255,朋程,二極體,二極體|機器人|汽車零組件|車用電子,27,19.42,80.95,6521666,1203247377,184.5,高
6239,力成,封測擴充,封裝測試,27,38.83,85.56,83774840,29949505300,357.5,高
6770,力積電,晶圓代工,晶圓代工,27,36.55,78.98,740236085,59737049800,80.7,高
2303,聯電,晶圓代工,晶圓代工,27,22.41,81.73,417482927,59282575634,142.0,高
3707,漢磊,其他,第三代半導體,27,8.87,64.45,55937881,4872189349,87.1,低
4906,正文,網通,網通,26,21.59,70.39,53789655,2544250640,47.3,中
1319,東陽,車用電子,汽車零組件|車用電子,26,7.99,68.0,4148427,358838935,86.5,中
6285,啟碁,網通,網通,26,8.38,69.96,30662483,9321394832,304.0,中
5425,台半,二極體,二極體,25,26.66,81.3,67446032,7722570664,114.5,高
1339,昭輝,其他,其他,25,9.93,67.57,1126843,50538906,44.85,中
1256,鮮活果汁-KY,其他,其他,25,5.32,65.71,239346,47390508,198.0,中
0056,元大高股息,其他,其他,25,7.46,71.49,62545862,3054114555,48.83,中
3026,禾伸堂,被動元件,被動元件,25,39.56,88.95,2501719,1513539995,605.0,高
3046,建碁,工業電腦,其他,25,4.41,71.11,759960,41341825,54.4,中
8477,創業家,其他,其他,25,22.32,72.76,829133,16582660,20.0,中
5321,美而快,其他,其他,25,38.42,91.15,1566287,76748063,49.0,高
5328,華容,其他,其他,25,6.04,85.27,41945073,1510022628,36.0,高
3607,谷崧,其他,其他,25,4.47,64.44,851558,12943681,15.2,低
3617,碩天,其他,其他,25,7.36,62.18,717757,151805605,211.5,低
2855,統一證,金融保險,其他,25,12.19,66.45,13666638,616365352,45.1,中
4163,鐿鈦,其他,其他,25,7.27,68.29,356938,42118684,118.0,中
5284,jpp-KY,其他,其他,25,17.65,78.09,3028415,1393070900,460.0,高
2816,旺旺保,其他,其他,25,3.72,67.35,457606,14689151,32.1,中
5864,致和證,其他,其他,25,23.37,63.79,21273349,847742925,39.85,低
4153,鈺緯,其他,其他,25,3.44,69.88,43322,1368975,31.6,中
2731,雄獅,其他,其他,25,3.44,65.79,1449569,239903669,165.5,中
6116,彩晶,其他,其他,25,43.98,83.96,325948439,5068498288,15.55,高
8277,商丞,其他,其他,25,12.18,67.3,433475,3394109,7.83,中
6020,大展證,其他,其他,25,9.11,62.35,146869,3429391,23.35,低
8261,富鼎,其他,其他,25,26.67,85.16,16646861,3162903590,190.0,高
1409,新纖,其他,其他,25,22.42,83.76,84199728,1747144356,20.75,高
8454,富邦媒,其他,其他,25,9.95,60.14,2759422,579478620,210.0,低
3067,全域,其他,其他,25,7.43,72.41,17389,326913,18.8,中
6016,康和證,其他,其他,25,20.04,75.63,33615080,905926431,26.95,高
6015,宏遠證,其他,其他,25,16.88,63.7,13247581,238456458,18.0,低
6005,群益證,金融保險,其他,25,13.92,78.53,25004902,900176472,36.0,高
5386,青雲,其他,其他,25,22.86,65.58,4184284,2405963300,575.0,中
5471,松翰,其他,其他,25,5.9,69.83,16305781,906601398,55.6,中
5464,霖宏,其他,其他,25,5.59,78.66,4504429,340084389,75.5,高
5536,聖暉*,其他,其他,25,11.41,65.38,2689491,2783623185,1035.0,中
2891,中信金,金融保險,其他,25,3.13,64.36,68974699,4090199598,59.3,低
2885,元大金,金融保險,其他,25,8.04,61.82,36984110,2185760844,59.1,低
2882,國泰金,金融保險,其他,25,7.75,64.46,61943048,5252770659,84.8,低
2881,富邦金,金融保險,其他,25,14.46,75.48,82473921,9072131310,110.0,高
8440,綠電,其他,其他,25,3.08,63.33,1790378,41894844,23.4,低
8416,實威,其他,其他,25,8.62,78.95,121376,22940064,189.0,高
8358,金居,其他,其他,25,11.04,65.81,4858509,2686755477,553.0,中
8473,山林水,其他,其他,25,12.9,87.71,4172484,191725642,45.95,高
9105,泰金寶-DR,其他,其他,25,38.6,88.77,233466235,1986797713,8.51,高
6175,立敦,其他,其他,25,25.59,93.29,16959290,1814644030,107.0,高
8289,泰藝,其他,其他,25,24.51,87.05,13617319,1030831006,75.7,高
3624,光頡,被動元件,被動元件,25,9.29,96.17,6961430,696143000,100.0,高
3556,禾瑞亞,其他,其他,25,13.15,71.36,3766929,230159356,61.1,中
3558,神準,其他,其他,25,17.92,72.52,2253496,318869684,141.5,中
3564,其陽,其他,其他,25,14.64,74.58,834327,40172846,48.15,中
3577,泓格,其他,其他,25,21.51,83.26,2525324,406577164,161.0,高
8110,華東,其他,其他,25,31.77,75.23,114610093,7105825766,62.0,高
6187,萬潤,其他,其他,25,13.76,63.49,4384720,5437052800,1240.0,低
6127,九豪,其他,其他,25,15.47,77.0,43685938,2673579438,61.2,高
6143,振曜,其他,其他,25,5.62,69.39,2725329,276620893,101.5,中
6146,耕興,其他,其他,25,3.17,63.51,2096250,476896875,227.5,低
5228,鈺鎧,其他,其他,25,20.38,81.72,592894,37470901,63.2,高
6196,帆宣,其他,其他,25,15.48,72.16,3669245,1819945520,496.0,中
6204,艾華,其他,其他,25,8.03,73.39,1291022,118128513,91.5,中
6173,信昌電,其他,其他,25,25.43,80.95,2127229,466926765,219.5,高
1455,集盛,其他,其他,25,5.26,71.2,2100924,18088954,8.61,中
8163,達方,其他,其他,25,3.38,78.46,8099138,297643321,36.75,高
6227,茂綸,其他,其他,25,12.02,73.81,4796879,625992709,130.5,中
8162,微矽電子-創,其他,其他,25,39.24,80.55,1620134,124750318,77.0,高
6220,岳豐,其他,其他,25,7.83,67.86,2251423,74409528,33.05,中
2495,普安,其他,其他,25,16.48,71.75,25760705,1219769342,47.35,中
2493,揚博,其他,其他,25,20.3,71.43,9545880,1555978440,163.0,中
6224,聚鼎,其他,其他,25,6.35,62.44,4860248,431103982,88.7,低
3141,晶宏,其他,其他,25,15.01,86.68,9425560,772895920,82.0,高
3135,凌航,其他,其他,25,27.88,75.52,3634861,908715250,250.0,高
2535,達欣工,其他,其他,25,4.74,70.87,884342,70305189,79.5,中
2527,宏璟,其他,其他,25,10.19,65.22,736586,27069535,36.75,中
1524,耿鼎,其他,其他,25,8.69,69.44,5396441,172146465,31.9,中
6190,萬泰科,其他,其他,25,8.73,65.15,19180417,1647597849,85.9,中
3152,璟德,其他,其他,25,14.53,64.38,3441614,677997958,197.0,低
6155,鈞寶,其他,其他,25,8.59,70.25,12192676,786427602,64.5,中
6272,驊陞,其他,其他,25,6.71,65.5,488741,16714942,34.2,中
3191,雲嘉南,其他,其他,25,55.16,94.09,860935,20705486,24.05,高
3206,志豐,其他,其他,25,6.08,67.81,1117650,44817763,40.1,中
6291,沛亨,其他,其他,25,32.93,72.57,7227977,4727096958,654.0,中
6290,良維,其他,其他,25,23.3,72.62,13619704,4576220544,336.0,中
2438,翔耀,其他,其他,25,26.36,74.76,1891426,52581641,27.8,中
2434,統懋,其他,其他,25,24.15,72.86,626418,22864257,36.5,中
2481,強茂,二極體,二極體,25,11.7,87.6,86411556,12788910288,148.0,高
2426,鼎元,其他,其他,25,7.0,66.1,37886916,3065051562,80.9,中
2423,固緯,其他,其他,25,13.37,74.06,557738,47296184,84.8,中
2420,新巨,其他,其他,25,3.2,74.46,1507075,97206337,64.5,中
1568,倉佑,其他,其他,25,49.24,89.51,1656472,68329470,41.25,高
1563,巧新,其他,其他,25,33.7,94.33,4813852,294126349,61.1,高
8077,洛碁,其他,其他,25,4.35,73.58,9272,433466,46.75,中
1530,亞崴,其他,其他,25,28.78,98.0,2301982,82410953,35.8,高
2428,興勤,其他,其他,25,27.17,94.74,2871179,839819857,292.5,高
6415,矽力*-KY,其他,其他,25,11.31,72.28,11804928,7319055360,620.0,中
6411,晶焱,其他,其他,25,17.34,86.97,8895233,987370863,111.0,高
6405,悅城,其他,其他,25,34.68,63.1,8780337,675207928,76.9,低
6292,迅德,其他,其他,25,28.41,78.77,2912696,200102206,68.7,高
6446,藥華藥,其他,其他,25,8.02,74.64,3005431,2590681522,862.0,中
6435,大中,其他,其他,25,20.61,70.52,1934111,537682858,278.0,中
6432,今展科,其他,其他,25,23.02,85.25,10238813,716716910,70.0,高
4974,亞泰,其他,其他,25,3.6,72.63,1047463,81492624,77.8,中
2484,希華,其他,其他,25,23.08,71.34,43139769,2381315281,55.2,中
6259,百徽,其他,其他,25,9.31,63.53,1457538,39353526,27.0,低
4433,興采,其他,其他,25,5.12,70.0,91582,1973592,21.55,中
4527,方土霖,其他,其他,25,3.32,77.92,132488,5975208,45.1,高
8104,錸寶,其他,其他,25,18.7,75.71,5229173,214134638,40.95,高
1521,大億,其他,其他,25,11.13,67.52,204831,5520195,26.95,中
8182,加高,其他,其他,25,26.33,66.88,11329327,538143032,47.5,中
6197,佳必琪,其他,其他,25,18.7,82.0,8114375,2292310937,282.5,高
8028,昇陽半導體,其他,其他,25,25.05,81.09,20088455,6719588197,334.5,高
4545,銘鈺,其他,其他,25,21.73,77.92,1908910,73779374,38.65,高
4549,桓達,其他,其他,25,11.27,67.86,1858090,210893215,113.5,中
2390,云辰,其他,其他,25,3.9,72.62,2014566,21455127,10.65,中
3221,台嘉碩,其他,其他,25,17.35,73.51,21227640,1277903944,60.2,中
3257,虹冠電,其他,其他,25,22.16,85.28,5119644,335848638,65.6,高
4966,譜瑞-KY,其他,其他,25,7.1,70.47,3204130,2707489850,845.0,中
4973,廣穎,其他,其他,25,41.2,81.15,8786945,1340009112,152.5,高
3287,廣寰科,其他,其他,25,21.14,82.77,4782183,182201165,38.1,高
3285,微端,其他,其他,25,9.46,66.95,222755,6961093,31.25,中
6548,長科*,其他,其他,25,29.18,78.51,30628837,2033754823,66.4,高
4939,亞電,其他,其他,25,20.76,65.4,19809665,910254121,45.95,中
1710,東聯,其他,其他,25,3.05,65.56,7268090,98119215,13.5,中
2360,致茂,測試設備,其他,25,13.22,63.93,3957564,10170939480,2570.0,低
2369,菱生,其他,其他,25,32.5,79.67,54764694,2176896586,39.75,高
2375,凱美,其他,其他,25,31.84,91.68,30036507,4850895880,161.5,高
2338,光罩,其他,其他,25,5.87,61.83,15660950,875447128,55.9,低
3523,迎輝,其他,其他,25,45.0,62.59,49058,711341,14.5,低
2312,金寶,其他,其他,25,25.25,73.72,161206692,6077492411,37.7,中
2332,友訊,其他,其他,25,9.59,76.62,15141999,242271984,16.0,高
2302,麗正,其他,其他,25,35.23,86.29,16538633,590429210,35.7,高
2301,光寶科,其他,其他,25,12.71,60.64,54535143,12570350461,230.5,低
2241,艾姆勒,其他,其他,25,3.66,75.75,10959205,419189591,38.25,高
2305,全友,其他,其他,25,31.07,81.03,16956264,393385337,23.2,高
2239,英利-KY,其他,其他,25,8.89,75.56,187422,4591839,24.5,高
2235,謚源,其他,其他,25,6.15,68.81,15024,480016,31.95,中
6573,虹揚-KY,其他,其他,25,12.93,65.69,1341609,19922894,14.85,中
6579,研揚,其他,其他,25,11.15,75.18,1432429,242796715,169.5,高
6899,創為精密,其他,其他,25,6.24,69.72,659548,42672753,64.7,中
1709,和益,其他,其他,25,6.52,65.57,1357898,26614801,19.6,中
2356,英業達,其他,其他,25,18.11,75.86,136095687,8696514606,63.9,高
1583,程泰,其他,其他,25,24.63,77.45,580986,34103878,58.7,高
4923,力士,其他,其他,25,26.23,80.6,5905581,288487622,48.85,高
3485,敘豐,其他,其他,25,41.08,66.13,1495292,508399280,340.0,中
3492,長盛,其他,其他,25,5.36,62.69,342086,8073229,23.6,低
3321,同泰,其他,其他,25,27.12,71.22,2183627,42471546,19.45,中
6617,共信-KY,其他,其他,25,9.62,63.5,820280,58896106,71.8,低
3311,閎暉,其他,其他,25,11.47,69.57,4380122,159655450,36.45,中
6654,天正國際,其他,其他,25,44.33,91.86,524949,73492860,140.0,高
6642,富致,其他,其他,25,5.39,81.18,2210721,203165263,91.9,高
3380,明泰,其他,其他,25,10.4,76.25,9700287,350180345,36.1,高
3346,麗清,其他,其他,25,20.74,64.54,707625,13798687,19.5,低
4807,日成-KY,其他,其他,25,10.92,67.26,750980,19074891,25.4,中
4760,勤凱,其他,其他,25,37.26,76.54,2914809,1240251229,425.5,高
3438,類比科,其他,其他,25,6.34,61.74,1352391,97507389,72.1,低
6605,帝寶,其他,其他,25,7.25,69.81,1066241,149806860,140.5,中
6706,惠特,其他,其他,25,20.18,62.1,15473586,3133401165,202.5,低
6698,旭暉應材,其他,其他,25,13.84,63.64,2446055,88547192,36.2,低
6922,宸曜,其他,其他,25,4.95,65.98,653853,124885923,191.0,中
6924,榮惠-KY創,其他,其他,25,6.71,89.32,107792,18863600,175.0,高
6870,騰雲,其他,其他,25,17.41,89.06,527183,138649129,263.0,高
1810,和成,其他,其他,25,4.44,67.44,11407544,228150880,20.0,中
3444,利機,其他,其他,25,21.45,75.33,3861470,445999785,115.5,高
8926,台汽電,其他,其他,25,10.33,74.86,20168833,1357362522,67.3,中
6799,來頡,其他,其他,25,15.54,79.89,2543182,283564793,111.5,高
6792,詠業,其他,其他,25,12.4,82.04,743291,53888597,72.5,高
3675,德微,其他,其他,25,21.33,89.5,2015351,773894784,384.0,高
3689,湧德,其他,其他,25,9.09,61.11,12675661,1673187252,132.0,低
3652,精聯,其他,其他,25,12.23,77.64,947658,32172989,33.95,高
3632,研勤,其他,其他,25,26.36,62.27,248286,2309059,9.3,低
3713,新晶投控,其他,其他,25,20.77,71.28,914996,14365437,15.7,中
4106,雃博,其他,其他,25,3.03,78.57,412337,9813620,23.8,高
0053,元大電子,其他,其他,25,5.22,61.22,29732,6952828,233.85,低
0052,富邦科技,其他,其他,25,5.32,60.18,47922356,2846588019,59.4,低
2317,鴻海,其他,AI伺服器,23,6.26,62.26,73602016,19357330208,263.0,低
3450,聯鈞,其他,CPO,23,9.32,60.03,15632883,7519416723,481.0,低
3374,精材,封測擴充,封裝測試,22,4.29,58.17,37415974,9541073370,255.0,低
6182,合晶,矽晶圓,矽晶圓,22,42.61,87.39,17247699,1564366246,90.7,高
3532,台勝科,矽晶圓,矽晶圓,22,28.32,58.81,10897292,3160214680,290.0,低
2376,技嘉,其他,光通訊,22,6.64,59.45,17132798,5782319325,337.5,低
2337,旺宏,記憶體,記憶體,22,13.48,54.07,217138802,34742208320,160.0,低
3264,欣銓,封測,封測,22,7.53,58.27,16589652,3906863046,235.5,低
2308,台達電,其他,晶圓代工,22,17.73,58.56,11638517,27816055630,2390.0,低
8150,南茂,封測擴充,封裝測試,22,35.7,59.81,112388509,11576016427,103.0,低
2449,京元電子,封測,封測|封裝測試,22,11.89,53.21,72722904,23271329280,320.0,低
3189,景碩,其他,ABF載板,22,22.92,79.89,7985281,5437976361,681.0,高
3016,嘉晶,矽晶圓,矽晶圓|第三代半導體,22,16.45,60.0,17076833,2296834038,134.5,低
6585,鼎基,其他,電力設備,21,2.32,60.67,243763,23693762,97.2,低
1503,士電,其他,電力設備,21,14.59,59.06,24516333,5295527928,216.0,低
1513,中興電,其他,電力設備,21,7.12,60.0,30851549,5105931359,165.5,低
1514,亞力,其他,電力設備,21,6.36,53.45,22005654,2761709577,125.5,低
2049,上銀,其他,機器人,21,3.88,68.66,9707334,3766445592,388.0,中
3552,同致,車用電子,汽車零組件|車用電子,21,5.86,54.79,1358582,76080592,56.0,低
9918,欣天然,其他,其他,20,2.42,72.46,151982,6740401,44.35,中
1303,南亞,其他,其他,20,3.67,52.75,88224120,7984282860,90.5,低
8908,欣雄,其他,其他,20,0.25,80.77,333787,13618509,40.8,高
3032,偉訓,其他,其他,20,13.87,77.37,2909709,262746731,90.3,高
2949,欣新網,其他,其他,20,4.13,83.54,1653,104139,63.0,高
5410,國眾,其他,其他,20,0.91,67.69,1123798,43828122,39.0,中
1723,中碳,其他,其他,20,1.72,61.07,930496,77045071,82.8,低
3704,合勤控,其他,其他,20,9.54,87.08,8602135,390106809,45.35,高
5353,台林,其他,其他,20,3.45,60.42,111024,2992096,26.95,低
4755,三福化,其他,其他,20,7.12,61.62,1771376,266592088,150.5,低
4770,上品,其他,其他,20,10.43,65.17,1058810,268937740,254.0,中
4747,強生,其他,其他,20,-2.59,63.49,49345,2787992,56.5,低
4744,皇將,其他,其他,20,2.07,67.83,293850,10123132,34.45,中
5878,台名,其他,其他,20,1.35,62.5,13168,542521,41.2,低
5701,劍湖山,其他,其他,20,6.74,57.41,343035,1248647,3.64,低
6862,三集瑞-KY,其他,其他,20,12.05,58.71,4184335,855696507,204.5,低
6859,伯特光,其他,其他,20,5.04,54.69,326587,40823375,125.0,低
6021,美好證,其他,其他,20,10.47,52.11,761097,26904777,35.35,低
8271,宇瞻,其他,其他,20,7.73,34.44,7530341,1784690817,237.0,低
2032,新鋼,其他,其他,20,7.23,61.26,1320007,23496123,17.8,低
6680,鑫創電子,其他,其他,20,8.22,68.57,1001,57957,57.9,中
6672,騰輝電子-KY,其他,其他,20,20.45,54.55,9641145,2072846175,215.0,低
6667,信紘科,其他,其他,20,5.51,57.83,2397529,642537772,268.0,低
6108,競國,其他,其他,20,4.68,36.36,3547497,71482063,20.15,低
3027,盛達,其他,其他,20,9.37,50.5,1864130,35884502,19.25,低
6821,聯寶,其他,其他,20,25.87,89.47,4273653,307703016,72.0,高
4737,華廣,其他,其他,20,4.17,52.68,187822,11250538,59.9,低
0051,元大中型100,其他,其他,20,3.81,60.24,169512,23324852,137.6,低
5483,中美晶,其他,其他,20,12.63,56.89,31210532,5009290386,160.5,低
5478,智冠,其他,其他,20,0.5,65.49,168275,16793845,99.8,中
5465,富驊,其他,其他,20,6.78,58.46,476512,12389312,26.0,低
2883,凱基金,其他,其他,20,3.5,41.57,88712694,1964986138,22.15,低
8354,冠好,其他,其他,20,3.95,65.52,292821,5007239,17.1,中
2937,集雅社,其他,其他,20,2.21,100.0,9607,466419,48.55,高
2929,淘帝-KY,其他,其他,20,5.63,57.74,2494654,14967924,6.0,低
3066,李洲,其他,其他,20,1.69,72.0,917944,19322720,21.05,中
5299,杰力,其他,其他,20,13.33,72.87,1493830,177765770,119.0,中
5292,華懋,其他,其他,20,4.76,54.81,479151,110683881,231.0,低
5285,界霖,其他,其他,20,9.88,87.77,5972939,538161794,90.1,高
6906,現觀科,其他,其他,20,41.46,87.92,400933,43501230,108.5,高
1809,中釉,其他,其他,20,6.51,60.67,12378021,516782376,41.75,低
2114,鑫永銓,其他,其他,20,2.46,86.0,136314,12513625,91.8,高
8131,福懋科,其他,其他,20,11.25,57.6,13206454,913886576,69.2,低
2612,中航,其他,其他,20,3.79,47.62,980634,56386455,57.5,低
2637,慧洋-KY,其他,其他,20,6.68,56.77,6107387,468436564,76.7,低
6134,萬旭,其他,其他,20,6.46,48.24,3762383,123970522,32.95,低
6125,廣運,其他,其他,20,16.11,63.27,4060318,266356854,65.6,低
6141,柏承,其他,其他,20,27.06,67.29,4178294,180502303,43.2,中
2718,全心投控,其他,其他,20,-1.73,73.42,86840,3942536,45.4,中
8446,華研,其他,其他,20,0.12,66.1,185677,15893950,85.6,中
5215,科嘉-KY,其他,其他,20,5.36,75.88,288164,13586933,47.15,高
3085,新零售,其他,其他,20,5.06,54.04,59158,736517,12.45,低
5274,信驊,其他,其他,20,8.49,55.76,250860,4474088100,17835.0,低
3357,臺慶科,其他,其他,20,11.42,79.03,9925316,2808864428,283.0,高
8455,大拓-KY,其他,其他,20,2.1,80.41,127965,5592070,43.7,高
2115,六暉-KY,其他,其他,20,5.28,58.23,481392,10566554,21.95,低
6716,應廣,其他,其他,20,17.74,71.51,1187696,139554280,117.5,中
6026,福邦證,其他,其他,20,5.86,42.25,6775206,110097097,16.25,低
2606,裕民,其他,其他,20,9.08,69.03,7534881,534223074,70.9,中
2546,根基,其他,其他,20,2.96,63.64,153282,13320206,86.9,低
4706,大恭,其他,其他,20,3.23,58.18,50508,1616256,32.0,低
1713,國化,其他,其他,20,2.92,65.55,516724,25500328,49.35,中
6570,維田,其他,其他,20,22.44,73.73,694082,41159062,59.3,中
4609,唐鋒,其他,其他,20,4.0,58.14,52000,297439,5.72,低
3528,安馳,其他,其他,20,33.06,68.6,1151433,130687645,113.5,中
3317,尼克森,二極體,二極體,20,9.38,83.23,6333417,524406946,82.8,高
8291,尚茂,其他,其他,20,60.43,100.0,67668,8999844,133.0,高
6207,雷科,其他,其他,20,18.38,84.05,19409649,2038013145,105.0,高
3628,盈正,其他,其他,20,5.03,46.3,276664,18481156,66.8,低
2066,世德,其他,其他,20,2.48,71.34,213885,12362552,57.8,中
6658,聯策,其他,其他,20,23.36,64.36,2029150,439310975,216.5,低
6603,富強鑫,其他,其他,20,9.84,52.29,3015573,74032314,24.55,低
6606,建德工業,其他,其他,20,4.89,57.69,417170,10742127,25.75,低
3481,群創,面板,其他,20,14.29,71.74,1257195758,58333885089,46.4,中
2206,三陽工業,其他,其他,20,0.33,66.67,2130626,127837560,60.0,中
2243,宏旭-KY,其他,其他,20,12.95,55.61,1548522,38480772,24.85,低
2247,汎德永業,其他,其他,20,3.42,44.26,169551,35860036,211.5,低
3305,昇貿,其他,其他,20,13.67,79.86,10401025,1643361950,158.0,高
3388,崇越電,其他,其他,20,14.55,51.06,4905259,544483749,111.0,低
4916,事欣科,其他,其他,20,3.74,88.87,5978009,612745922,102.5,高
1522,堤維西,其他,其他,20,6.07,45.64,3533797,111137918,31.45,低
8183,精星,其他,其他,20,4.38,49.18,888627,28569359,32.15,低
6235,華孚,其他,其他,20,6.17,53.18,2461477,107935762,43.85,低
6223,旺矽,其他,其他,20,4.69,62.09,1073934,6352319610,5915.0,低
2497,怡利電,其他,其他,20,7.04,50.34,3507789,213273568,60.8,低
2492,華新科,其他,其他,20,46.62,94.66,5981900,2332941000,390.0,高
5210,寶碩,其他,其他,20,6.85,54.4,1998772,57664572,28.85,低
